Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Assam,S03,89,S03-089,KHOWANG,1,CHAKRADHAR GOGOI,Bharatiya Janata Party,47078,0,47078,51.73,2026-05-04 07:52:13
2026_RESULTS,Assam,S03,89,S03-089,KHOWANG,2,LURINJYOTI GOGOI,Assam Jatiya Parishad,38403,0,38403,42.2,2026-05-04 07:52:13
2026_RESULTS,Assam,S03,89,S03-089,KHOWANG,3,DR. PRABHAKAR DAS,Independent,1313,0,1313,1.44,2026-05-04 07:52:13
2026_RESULTS,Assam,S03,89,S03-089,KHOWANG,4,BIJU DOWARAH,Independent,2837,0,2837,3.12,2026-05-04 07:52:13
2026_RESULTS,Assam,S03,89,S03-089,KHOWANG,5,NOTA,None of the Above,1372,0,1372,1.51,2026-05-04 07:52:13
