Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,1,RAMCHANDRA ROY,Communist Party of India (Marxist),13263,117,13380,5.57,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,2,LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,124734,1507,126241,52.55,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,3,SUMITRA MALLIK SANTRA,Indian National Congress,2859,31,2890,1.2,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,4,HARAKALI PROTIHER,All India Trinamool Congress,91137,737,91874,38.24,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,5,MOHAN SANTRA,Socialist Unity Centre Of India (COMMUNIST),2185,7,2192,0.91,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,6,CHALAK SAMIR,Independent,871,2,873,0.36,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,7,PABITRA MANDAL,Independent,1139,2,1141,0.47,2026-05-04 16:08:51
2026_RESULTS,West Bengal,S25,256,S25-256,KATULPUR,8,NOTA,None of the Above,1629,33,1662,0.69,2026-05-04 16:08:51
