Election_Id,State,State_Code,Party,Won,Leading,Total,Timestamp
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 04:45:59
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,6,6,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,3,3,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,0,2,2,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,2,2,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 05:10:49
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,7,7,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,0,2,2,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,2,2,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,2,2,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 05:20:15
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,8,8,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,0,2,2,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,2,2,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 05:32:53
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,9,9,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,0,2,2,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,1,1,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 06:08:44
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,1,8,9,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,0,2,2,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,1,0,1,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 07:00:50
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,3,6,9,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,1,1,2,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,1,0,1,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,1,0,1,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,1,0,1,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 07:30:30
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,4,5,9,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,1,1,2,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,1,0,1,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,1,0,1,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,1,0,1,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,Independent - IND,0,3,3,2026-05-04 07:59:13
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,7,2,9,2026-05-04 08:27:39
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,1,1,2,2026-05-04 08:27:39
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,1,0,1,2026-05-04 08:27:39
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,1,0,1,2026-05-04 08:27:39
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,1,0,1,2026-05-04 08:27:39
2026_RESULTS,Puducherry,U07,Independent - IND,1,2,3,2026-05-04 08:27:39
