Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,1,JHARNA SARDAR,All India Trinamool Congress,28957,0,28957,47.56,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,2,YUDHISTHIR BHUMIJ,Indian National Congress,340,0,340,0.56,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,3,RABINDRA NATH MAHATA,Communist Party of India (Marxist),5177,0,5177,8.5,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,4,SANAT SARDAR,Bharatiya Janata Party,24850,0,24850,40.81,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,5,SAJAL KUMAR SARDAR,Independent,372,0,372,0.61,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,6,SANAT MUNDA,Independent,251,0,251,0.41,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,7,SUBAL CHANDRA SARDAR,Independent,135,0,135,0.22,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,8,HARISH CHANDRA SARDAR,Independent,150,0,150,0.25,2026-05-04 08:36:22
2026_RESULTS,West Bengal,S25,123,S25-123,SANDESHKHALI,9,NOTA,None of the Above,656,0,656,1.08,2026-05-04 08:36:22
