Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,1,ARIJIT BAKSHI,Bharatiya Janata Party,72450,0,72450,51.36,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,2,BRATYABRATA BASU,All India Trinamool Congress,51670,0,51670,36.63,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,3,MAYUKH BISWAS,Communist Party of India (Marxist),13660,0,13660,9.68,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,4,SUBRATA KUMAR MAJUMDER,Bahujan Samaj Party,274,0,274,0.19,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,5,SUSMITA BISWAS,Indian National Congress,1154,0,1154,0.82,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,6,NIRENDRANATH KARMAKAR,Socialist Unity Centre Of India (COMMUNIST),186,0,186,0.13,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,7,SABIR RAJA ANSARI,Aam Janata Unnayan party,83,0,83,0.06,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,8,DULU DEY,Independent,166,0,166,0.12,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,9,PALASH SAMANTA,Independent,374,0,374,0.27,2026-05-04 11:58:23
2026_RESULTS,West Bengal,S25,114,S25-114,DUM DUM,10,NOTA,None of the Above,1033,0,1033,0.73,2026-05-04 11:58:23
