Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,1,C KRISHNAKUMAR,Bharatiya Janata Party,46129,653,46782,30.17,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,2,A PRABHAKARAN,Communist Party of India (Marxist),64846,948,65794,42.44,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,3,RAMNATH C,Bahujan Samaj Party,398,14,412,0.27,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,4,SAJI PJ,Aam Aadmi Party,182,8,190,0.12,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,5,A SURESH,Indian National Congress,39465,632,40097,25.86,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,6,K PRASAD,Socialist Unity Centre Of India (COMMUNIST),331,5,336,0.22,2026-05-04 08:25:09
2026_RESULTS,Kerala,S11,55,S11-055,MALAMPUZHA,7,NOTA,None of the Above,1411,15,1426,0.92,2026-05-04 08:25:09
