Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,1,GANESAN V.G.,All India Anna Dravida Munnetra Kazhagam,33851,361,34212,20.38,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,2,LAKSHMANAN,Naam Tamilar Katchi,9938,182,10120,6.03,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,3,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,53689,573,54262,32.33,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,4,SELVAM P,Tamilaga Vettri Kazhagam,63070,583,63653,37.93,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,5,BALASUBRAMANIAM M,Puthiya Tamilagam,2166,51,2217,1.32,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,6,RATHINARAJA S,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,145,3,148,0.09,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,7,VIKRAMAN N,Desa Makkal Munnetrak Kazhagam,115,3,118,0.07,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,8,AMIRTHA PANDI M.V,Independent,121,1,122,0.07,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,9,AJAY I,Independent,532,0,532,0.32,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,10,GUNASUNDARAM R,Independent,204,0,204,0.12,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,11,GURUSAMY S,Independent,180,2,182,0.11,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,12,SANTHOSH KUMAR R,Independent,137,0,137,0.08,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,13,SUBBURAJ K,Independent,342,1,343,0.2,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,14,MUTHUVEL S,Independent,508,1,509,0.3,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,15,RANJITH S,Independent,118,1,119,0.07,2026-05-04 15:02:07
2026_RESULTS,Tamil Nadu,S22,206,S22-206,VIRUDHUNAGAR,16,NOTA,None of the Above,940,14,954,0.57,2026-05-04 15:02:07
