Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,1,KUMARAN. G.P,Bahujan Samaj Party,218,0,218,0.31,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,2,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,22227,0,22227,31.29,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,3,SRIVIDYA. G,Naam Tamilar Katchi,2486,0,2486,3.5,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,4,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,37236,0,37236,52.42,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,5,SENTHAMIZHAN. G,Amma Makkal Munnettra Kazagam,7940,0,7940,11.18,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,6,SOUNDARARAJAN. N,Naam Indiar Party,59,0,59,0.08,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,7,PARTHIBAN. S,MGR Makkal Katchi,74,0,74,0.1,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,8,ANAND. S,Independent,32,0,32,0.05,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,9,KANDHASAMY. R (ALIAS) BABU,Independent,21,0,21,0.03,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,10,PRASAD. N,Independent,37,0,37,0.05,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,11,PRITHVIRAJ. A,Independent,35,0,35,0.05,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,12,YOGAPRAKASH. B,Independent,72,0,72,0.1,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,13,RAJA. R,Independent,116,0,116,0.16,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,14,VALARMATHI. P,Independent,50,0,50,0.07,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,15,GINGSTON. M,Independent,59,0,59,0.08,2026-05-04 08:42:09
2026_RESULTS,Tamil Nadu,S22,23,S22-023,SAIDAPET,16,NOTA,None of the Above,375,0,375,0.53,2026-05-04 08:42:09
