Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,1,AJIT MAITY,All India Trinamool Congress,68975,0,68975,43.12,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,2,SUSANTA MANDAL,Indian National Congress,956,0,956,0.6,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,3,SWAGATA MANNA,Bharatiya Janata Party,82288,0,82288,51.45,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,4,ASHOK SEN,Communist Party of India,4288,0,4288,2.68,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,5,KAZI ABDUR RASHID,Aam Janata Unnayan party,210,0,210,0.13,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,6,SISHIR KUMAR MANNA,Socialist Unity Centre Of India (COMMUNIST),139,0,139,0.09,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,7,AJIT MAITI,Independent,92,0,92,0.06,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,8,ASISH KUMAR BHUNIA,Independent,88,0,88,0.06,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,9,TAPAN DHAL,Independent,344,0,344,0.22,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,10,TAJAMBUL HOSSAIN KHAN,Independent,705,0,705,0.44,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,11,BASUDEB PAN,Independent,289,0,289,0.18,2026-05-04 12:22:51
2026_RESULTS,West Bengal,S25,227,S25-227,PINGLA,12,NOTA,None of the Above,1573,0,1573,0.98,2026-05-04 12:22:51
