Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,1,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,2,M. MOHANAN MASTER,Bharatiya Janata Party,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,3,RENJITH MALAYIL,Aam Aadmi Party,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,4,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,5,AKHIL KUMAR .A.M,Communist Party of India (Marxist-Leninist) Red Star,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,6,FATHIMA NASRI. V,Independent,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,7,FATHIMATHU RUKSANA. P,Independent,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,8,P.K. BIJU MASTER,Independent,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,9,K. RAMAKRISHNAN S/O GOVINDAN NAIR,Independent,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,10,T.M. RAMAKRISHNAN S/O NARAYANAN NAIR,Independent,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,11,NOTA,None of the Above,0,0,0,0.0,2026-05-04 03:54:22
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,1,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,5542,0,5542,56.29,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,2,M. MOHANAN MASTER,Bharatiya Janata Party,678,0,678,6.89,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,3,RENJITH MALAYIL,Aam Aadmi Party,4,0,4,0.04,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,4,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),3571,0,3571,36.27,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,5,AKHIL KUMAR .A.M,Communist Party of India (Marxist-Leninist) Red Star,11,0,11,0.11,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,6,FATHIMA NASRI. V,Independent,7,0,7,0.07,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,7,FATHIMATHU RUKSANA. P,Independent,8,0,8,0.08,2026-05-04 04:08:13
2026_RESULTS,Kerala,S11,24,S11-024,PERAMBRA,8,P.K. BIJU MASTER,Independent,4,0,4,0.04,2026-05-04 04:08:13
