Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,1,KARIKALAPANDIYAN.A,Naam Tamilar Katchi,12855,326,13181,6.84,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,2,CHANDRAPRABHA.M,All India Anna Dravida Munnetra Kazhagam,41955,691,42646,22.14,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,3,MAHALINGAM.P,Communist Party of India,55996,811,56807,29.49,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,4,KARTHIK.A,Tamilaga Vettri Kazhagam,64527,944,65471,33.99,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,5,CHANDRA.M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1671,42,1713,0.89,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,6,VARATHARAJAN.A,Naam Indiar Party,124,2,126,0.07,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,7,DR. SHYAM KRISHNASAMY,Puthiya Tamilagam,9231,193,9424,4.89,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,8,ALAGURAJA T,Independent,358,5,363,0.19,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,9,SUDANDIRADOSS.M,Independent,151,0,151,0.08,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,10,SURYAPRAKASH.R,Independent,233,1,234,0.12,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,11,DEVIALAKSHMI SARANYA.K,Independent,503,4,507,0.26,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,12,PANDIYAMMAL.M,Independent,338,1,339,0.18,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,13,MUTHURAJ.U,Independent,440,2,442,0.23,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,14,MURUGESAN.S,Independent,333,6,339,0.18,2026-05-04 13:48:09
2026_RESULTS,Tamil Nadu,S22,203,S22-203,SRIVILLIPUTHUR,15,NOTA,None of the Above,842,28,870,0.45,2026-05-04 13:48:09
