Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,1,ASHWINI RAY SARKAR,Bharatiya Janata Party,0,0,0,0.0,2026-05-04 09:20:28
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,2,KARTIK CHANDRA RAY,Indian National Congress,0,0,0,0.0,2026-05-04 09:20:28
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,3,JAMSHER TALUKDAR,All India United Democratic Front,0,0,0,0.0,2026-05-04 09:20:28
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,4,JAKIR HUSSAIN,Rashtriya Ulama Council,0,0,0,0.0,2026-05-04 09:20:28
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,5,NOTA,None of the Above,0,0,0,0.0,2026-05-04 09:20:28
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,1,ASHWINI RAY SARKAR,Bharatiya Janata Party,5313,0,5313,53.75,2026-05-04 05:28:03
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,2,KARTIK CHANDRA RAY,Indian National Congress,4314,0,4314,43.65,2026-05-04 05:28:03
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,3,JAMSHER TALUKDAR,All India United Democratic Front,168,0,168,1.7,2026-05-04 05:28:03
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,4,JAKIR HUSSAIN,Rashtriya Ulama Council,30,0,30,0.3,2026-05-04 05:28:03
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,5,NOTA,None of the Above,59,0,59,0.6,2026-05-04 05:28:03
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,1,ASHWINI RAY SARKAR,Bharatiya Janata Party,9664,0,9664,48.15,2026-05-04 05:42:30
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,2,KARTIK CHANDRA RAY,Indian National Congress,9998,0,9998,49.82,2026-05-04 05:42:30
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,3,JAMSHER TALUKDAR,All India United Democratic Front,265,0,265,1.32,2026-05-04 05:42:30
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,4,JAKIR HUSSAIN,Rashtriya Ulama Council,47,0,47,0.23,2026-05-04 05:42:30
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,5,NOTA,None of the Above,96,0,96,0.48,2026-05-04 05:42:30
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,1,ASHWINI RAY SARKAR,Bharatiya Janata Party,15061,0,15061,47.45,2026-05-04 06:25:10
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,2,KARTIK CHANDRA RAY,Indian National Congress,16059,0,16059,50.6,2026-05-04 06:25:10
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,3,JAMSHER TALUKDAR,All India United Democratic Front,413,0,413,1.3,2026-05-04 06:25:10
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,4,JAKIR HUSSAIN,Rashtriya Ulama Council,68,0,68,0.21,2026-05-04 06:25:10
2026_RESULTS,Assam,S03,6,S03-006,GOLAKGANJ,5,NOTA,None of the Above,139,0,139,0.44,2026-05-04 06:25:10
