Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,1,APURBA SARKAR (DAVID),All India Trinamool Congress,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,2,GARGI DAS GHOSH,Bharatiya Janata Party,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,3,PRATAP DAS,Bahujan Samaj Party,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,4,SHAMIM RANA,Indian National Congress,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,5,MESBAHUL ISLAM KHAN,All India Majlis-E-Ittehadul Muslimeen,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,6,REJAUL KARIM,Communist Party of India,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,7,SRIKANTA DAS,Socialist Unity Centre Of India (COMMUNIST),0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,8,SAKSHI GOPAL DEB,Amra Bangalee,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,9,ABHIJIT HALDER,Independent,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,10,ASHIS DAS,Independent,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,11,GOKUL HAZRA,Independent,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,12,RAJKUMAR MONDAL,Independent,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,13,SYED AZIZUR HOSSAIN (NASHIM),Independent,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,14,NOTA,None of the Above,0,0,0,0.0,2026-05-04 09:12:22
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,1,APURBA SARKAR (DAVID),All India Trinamool Congress,4773,0,4773,39.02,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,2,GARGI DAS GHOSH,Bharatiya Janata Party,1775,0,1775,14.51,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,3,PRATAP DAS,Bahujan Samaj Party,29,0,29,0.24,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,4,SHAMIM RANA,Indian National Congress,2114,0,2114,17.28,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,5,MESBAHUL ISLAM KHAN,All India Majlis-E-Ittehadul Muslimeen,3005,0,3005,24.56,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,6,REJAUL KARIM,Communist Party of India,124,0,124,1.01,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,7,SRIKANTA DAS,Socialist Unity Centre Of India (COMMUNIST),18,0,18,0.15,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,8,SAKSHI GOPAL DEB,Amra Bangalee,10,0,10,0.08,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,9,ABHIJIT HALDER,Independent,16,0,16,0.13,2026-05-04 06:12:14
2026_RESULTS,West Bengal,S25,68,S25-068,KANDI,10,ASHIS DAS,Independent,39,0,39,0.32,2026-05-04 06:12:14
