Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,1,JAGANNATH KUMIR,Indian National Congress,253,0,253,0.4,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,2,DEBASISH DHAR,Bharatiya Janata Party,31599,0,31599,50.21,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,3,FIRDOUSI BEGAM,All India Trinamool Congress,26918,0,26918,42.77,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,4,MONALISA SINHA,Communist Party of India (Marxist),2600,0,2600,4.13,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,5,SANJOY PRAMANIK,Bahujan Samaj Party,147,0,147,0.23,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,6,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),66,0,66,0.1,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,7,ARUP MANDAL,Independent,41,0,41,0.07,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,8,ABUL KASHEM,Independent,63,0,63,0.1,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,9,DIPENDU ISAR,Independent,60,0,60,0.1,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,10,NARAYAN DAS,Independent,66,0,66,0.1,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,11,SAMIR BHATTACHARYA,Independent,124,0,124,0.2,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,12,SARASWATI MONDAL,Independent,408,0,408,0.65,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,13,SUSHAMA MAITY MANNA,Independent,190,0,190,0.3,2026-05-04 08:36:55
2026_RESULTS,West Bengal,S25,151,S25-151,SONARPUR UTTAR,14,NOTA,None of the Above,404,0,404,0.64,2026-05-04 08:36:55
